,hoopR_ID,athlete,nba_api_ID
303,2580365,Larry Nance Jr.,1626204
304,2580782,Spencer Dinwiddie,203915
305,2580898,Chasson Randle,1626184
306,2580913,Dewayne Dedmon,203473
307,2580980,Malcolm Miller,1626259
308,2581018,Kentavious Caldwell-Pope,203484
309,2581084,Johnny O'Bryant III,203948
310,2581177,Rodney Hood,203918
311,2581184,Anthony Gill,1630264
312,2581190,Josh Richardson,1626196
313,2583632,Royce O'Neale,1626220
314,2583639,Elfrid Payton,203901
315,2585637,Dairis Bertans,1629541
316,2594818,James Michael McAdoo,203949
317,2594922,Otto Porter Jr.,203490
318,2595209,Damion Lee,1627814
319,2595229,Briante Weber,1627362
320,2595231,Treveon Graham,1626203
321,2595435,Abdel Nader,1627846
322,2595516,Norman Powell,1626181
323,2595592,Jordan Loyd,1628070
324,2596107,Alex Len,203458
325,2596108,Michael Carter-Williams,203487
326,2596112,Javonte Green,1629750
327,2596158,Shane Larkin,203499
328,2608891,JaKarr Sampson,203960
329,2608892,Norvel Pelle,203658
330,2959753,Joffrey Lauvergne,203530
331,2960236,Maxi Kleber,1628467
332,2968334,Facundo Campazzo,1630267
333,2968361,Raul Neto,203526
334,2968436,Joe Ingles,204060
335,2968439,Aron Baynes,203382
336,2968458,Salah Mejri,1626257
337,2982240,Jaron Blossomgame,1628417
338,2982249,Amile Jefferson,1628518
339,2982261,Marcus Georges-Hunt,1627875
340,2982268,Jake Layman,1627774
341,2982329,Marcus Paige,1627779
342,2982330,Brice Johnson,1627744
343,2982332,Rodney Purvis,1628681
344,2982334,T.J. Warren,203933
345,2982340,Justin Anderson,1626147
346,2982349,Tyler Cavanaugh,1628463
347,2983512,Xavier Munford,204098
348,2983551,Joel Bolomboy,1627762
349,2983727,RJ Hunter,1626154
350,2988387,Charles Cooke,1628429
351,2990962,Taurean Prince,1627752
352,2990968,Naz Mitrou-Long,1628513
353,2990969,Georges Niang,1627777
354,2990972,Andrew White III,1628510
355,2990984,Buddy Hield,1627741
356,2990992,Marcus Smart,203935
357,2991011,Gabe York,1628221
358,2991018,Yogi Ferrell,1627812
359,2991039,Glenn Robinson III,203922
360,2991042,Nik Stauskas,203917
361,2991043,Caris LeVert,1627747
362,2991047,Ryan Arcidiacono,1627853
363,2991054,Mangok Mathiang,1628493
364,2991055,Montrezl Harrell,1626149
365,2991070,Jerami Grant,203924
366,2991139,Kris Dunn,1627739
367,2991149,Damyean Dotson,1628422
368,2991155,Danuel House Jr.,1627863
369,2991184,Sam Dekker,1626155
370,2991230,Fred VanVleet,1627832
371,2991235,Steven Adams,203500
372,2991255,Michael Frazier II,1626187
373,2991274,Shaquille Harrison,1627885
374,2991280,Nerlens Noel,203457
375,2991282,Willie Cauley-Stein,1626161
376,2991283,Alex Poythress,1627816
377,2991350,Alex Caruso,1627936
378,2992564,Milton Doyle,1628495
379,2993370,Richaun Holmes,1626158
380,2993874,Kyle Anderson,203937
381,2993875,Shabazz Muhammad,203498
382,2994165,Erik McCree,1628571
383,2994526,Bryn Forbes,1627854
384,2995702,Alex Abrines,203518
385,2995706,Mario Hezonja,1626209
386,2999409,Willy Hernangomez,1626195
387,2999546,Matt Costello,1627856
388,2999547,Gary Harris,203914
389,2999549,Denzel Valentine,1627756
390,3001308,Josh Gray,1627982
391,3002137,Tyrone Wallace,1627820
392,3032976,Rudy Gobert,203497
393,3032977,Giannis Antetokounmpo,203507
394,3032980,Lucas Nogueira,203512
395,3037805,Axel Toupane,1626253
396,3056245,Malcolm Hill,1630792
397,3056247,Kendrick Nunn,1629134
398,3056273,Derrick Walton Jr.,1628476
399,3056600,Jabari Parker,203953
400,3056602,Semi Ojeleye,1628400
