hoopR_ID,athlete,nba_api_ID,pst_ID
2608891,JaKarr Sampson,203960,102
2608892,Norvel Pelle,203658,622
2959753,Joffrey Lauvergne,203530,103
2960236,Maxi Kleber,1628467,532
2968334,Facundo Campazzo,1630267,688
2968361,Raul Neto,203526,321
2968436,Joe Ingles,204060,655
2968439,Aron Baynes,203382,230
2968458,Salah Mejri,1626257,23
2982240,Jaron Blossomgame,1628417,-1
2982249,Amile Jefferson,1628518,479
2982261,Marcus Georges-Hunt,1627875,471
2982268,Jake Layman,1627774,501
2982329,Marcus Paige,1627779,489
2982330,Brice Johnson,1627744,337
2982332,Rodney Purvis,1628681,-1
2982334,T.J. Warren,203933,300
2982340,Justin Anderson,1626147,4
2982349,Tyler Cavanaugh,1628463,485
2983512,Xavier Munford,204098,465
2983551,Joel Bolomboy,1627762,344
2983727,RJ Hunter,1626154,21
2988387,Charles Cooke,1628429,406
2990962,Taurean Prince,1627752,313
2990968,Naz Mitrou-Long,1628513,605
2990969,Georges Niang,1627777,232
2990972,Andrew White III,1628510,473
2990984,Buddy Hield,1627741,415
2990992,Marcus Smart,203935,240
2991011,Gabe York,1628221,-1
2991018,Yogi Ferrell,1627812,291
2991039,Glenn Robinson III,203922,477
2991042,Nik Stauskas,203917,77
2991043,Caris LeVert,1627747,289
2991047,Ryan Arcidiacono,1627853,455
2991054,Mangok Mathiang,1628493,378
2991055,Montrezl Harrell,1626149,76
2991070,Jerami Grant,203924,65
2991139,Kris Dunn,1627739,335
2991149,Damyean Dotson,1628422,446
2991155,Danuel House Jr.,1627863,251
2991184,Sam Dekker,1626155,116
2991230,Fred VanVleet,1627832,456
2991235,Steven Adams,203500,93
2991255,Michael Frazier II,1626187,603
2991274,Shaquille Harrison,1627885,561
2991280,Nerlens Noel,203457,130
2991282,Willie Cauley-Stein,1626161,3
2991283,Alex Poythress,1627816,370
2991350,Alex Caruso,1627936,442
2992564,Milton Doyle,1628495,445
2993370,Richaun Holmes,1626158,123
2993874,Kyle Anderson,203937,127
2993875,Shabazz Muhammad,203498,270
2994165,Erik McCree,1628571,466
2994526,Bryn Forbes,1627854,258
2995702,Alex Abrines,203518,334
2995706,Mario Hezonja,1626209,524
2999409,Willy Hernangomez,1626195,247
2999546,Matt Costello,1627856,386
2999547,Gary Harris,203914,250
2999549,Denzel Valentine,1627756,312
3001308,Josh Gray,1627982,-1
3002137,Tyrone Wallace,1627820,491
3032976,Rudy Gobert,203497,29
3032977,Giannis Antetokounmpo,203507,315
3032980,Lucas Nogueira,203512,226
3037805,Axel Toupane,1626253,340
